origin,destination,departure_date,airline,price_total,currency,number_of_stops,departure_time,arrival_time,duration,ingested_at
LHR,JFK,2026-06-10,VS,424.80,EUR,1,2026-06-10T09:55:00,2026-06-10T15:25:00,PT10H30M,2026-03-07T20:54:48.051195+00:00
LHR,JFK,2026-06-10,VS,424.80,EUR,1,2026-06-10T17:10:00,2026-06-10T22:50:00,PT10H40M,2026-03-07T20:54:48.051203+00:00
LHR,JFK,2026-06-10,VS,424.80,EUR,1,2026-06-10T08:40:00,2026-06-10T15:25:00,PT11H45M,2026-03-07T20:54:48.051210+00:00
CDG,JFK,2026-06-10,6X,162.27,EUR,0,2026-06-10T10:30:00,2026-06-10T12:45:00,PT8H15M,2026-03-07T20:54:51.435132+00:00
CDG,JFK,2026-06-10,6X,162.27,EUR,0,2026-06-10T13:30:00,2026-06-10T17:00:00,PT9H30M,2026-03-07T20:54:51.435169+00:00
CDG,JFK,2026-06-10,6X,162.27,EUR,0,2026-06-10T08:00:00,2026-06-10T13:00:00,PT11H,2026-03-07T20:54:51.435177+00:00
CDG,JFK,2026-06-10,6X,162.27,EUR,0,2026-06-10T09:00:00,2026-06-10T15:00:00,PT12H,2026-03-07T20:54:51.435183+00:00
CDG,JFK,2026-06-10,6X,229.42,EUR,1,2026-06-10T09:25:00,2026-06-10T13:50:00,PT10H25M,2026-03-07T20:54:51.435189+00:00
CDG,JFK,2026-06-10,6X,229.42,EUR,1,2026-06-10T08:00:00,2026-06-10T12:55:00,PT10H55M,2026-03-07T20:54:51.435194+00:00
CDG,JFK,2026-06-10,6X,229.42,EUR,1,2026-06-10T11:30:00,2026-06-10T16:25:00,PT10H55M,2026-03-07T20:54:51.435199+00:00
CDG,JFK,2026-06-10,6X,229.42,EUR,1,2026-06-10T09:25:00,2026-06-10T14:50:00,PT11H25M,2026-03-07T20:54:51.435205+00:00
CDG,JFK,2026-06-10,6X,229.42,EUR,1,2026-06-10T15:10:00,2026-06-10T21:00:00,PT11H50M,2026-03-07T20:54:51.435210+00:00
CDG,JFK,2026-06-10,6X,229.42,EUR,1,2026-06-10T18:00:00,2026-06-11T09:00:00,PT21H,2026-03-07T20:54:51.435215+00:00
YYZ,DFW,2026-06-10,AC,254.62,EUR,0,2026-06-10T08:30:00,2026-06-10T10:52:00,PT3H22M,2026-03-07T20:54:54.817974+00:00
YYZ,DFW,2026-06-10,AC,254.62,EUR,0,2026-06-10T20:00:00,2026-06-10T22:22:00,PT3H22M,2026-03-07T20:54:54.818011+00:00
YYZ,DFW,2026-06-10,AC,257.53,EUR,1,2026-06-10T16:00:00,2026-06-10T21:30:00,PT6H30M,2026-03-07T20:54:54.818021+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T10:19:00,2026-06-10T14:50:00,PT5H31M,2026-03-07T20:54:54.818028+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T14:50:00,2026-06-10T20:04:00,PT6H14M,2026-03-07T20:54:54.818034+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T15:50:00,2026-06-10T21:28:00,PT6H38M,2026-03-07T20:54:54.818039+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T10:15:00,2026-06-10T16:34:00,PT7H19M,2026-03-07T20:54:54.818046+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T12:45:00,2026-06-10T20:04:00,PT8H19M,2026-03-07T20:54:54.818052+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T07:30:00,2026-06-10T15:52:00,PT9H22M,2026-03-07T20:54:54.818058+00:00
YYZ,DFW,2026-06-10,UA,259.45,EUR,1,2026-06-10T10:19:00,2026-06-10T19:38:00,PT10H19M,2026-03-07T20:54:54.818065+00:00
